oldname,split,newname,casename
31_Lotus_Opinion_Loder.pdf,even-english,PCIJ_A_10_Lotus_FRA_TUR_1927-09-07_JUD_01_ME_01_BI.pdf,S.S. Lotus
32_Lotus_Opinion_Weiss.pdf,even-english,PCIJ_A_10_Lotus_FRA_TUR_1927-09-07_JUD_01_ME_02_BI.pdf,S.S. Lotus
33_Lotus_Opinion_Finlay.pdf,even-english,PCIJ_A_10_Lotus_FRA_TUR_1927-09-07_JUD_01_ME_03_BI.pdf,S.S. Lotus
34_Lotus_Opinion_Nyholm.pdf,even-english,PCIJ_A_10_Lotus_FRA_TUR_1927-09-07_JUD_01_ME_04_BI.pdf,S.S. Lotus
35_Lotus_Opinion_Moore.pdf,even-english,PCIJ_A_10_Lotus_FRA_TUR_1927-09-07_JUD_01_ME_05_BI.pdf,S.S. Lotus
36_Lotus_Opinion_Altamira.pdf,even-english,PCIJ_A_10_Lotus_FRA_TUR_1927-09-07_JUD_01_ME_06_BI.pdf,S.S. Lotus
37_Lotus_Annexe.pdf,even-english,PCIJ_A_10_Lotus_FRA_TUR_1927-09-07_ANX_01_NA_NA_BI.pdf,S.S. Lotus
38_Readaptation_des_concessions_Mavrommatis_a_Jerusalem_Competence_Arret.pdf,odd-english,PCIJ_A_11_MavrommatisJerusalem-Readaptation_GRC_GBR_1927-10-10_JUD_01_PO_00_BI.pdf,Readaptation of the Mavrommatis Jerusalem Concessions (Jurisdiction)
39_Readaptation_des_concessions_Mavrommatis_a_Jerusalem_Competence_Opinion_Nyholm.pdf,even-english,PCIJ_A_11_MavrommatisJerusalem-Readaptation_GRC_GBR_1927-10-10_JUD_01_PO_01_BI.pdf,Readaptation of the Mavrommatis Jerusalem Concessions (Jurisdiction)
40_Readaptation_des_concessions_Mavrommatis_a_Jerusalem_Competence_Opinion_Altamira.pdf,even-english,PCIJ_A_11_MavrommatisJerusalem-Readaptation_GRC_GBR_1927-10-10_JUD_01_PO_02_BI.pdf,Readaptation of the Mavrommatis Jerusalem Concessions (Jurisdiction)
41_Readaptation_des_concessions_Mavrommatis_a_Jerusalem_Competence_Opinion_Caloyanni.pdf,even-english,PCIJ_A_11_MavrommatisJerusalem-Readaptation_GRC_GBR_1927-10-10_JUD_01_PO_03_BI.pdf,Readaptation of the Mavrommatis Jerusalem Concessions (Jurisdiction)
42_Usine_de_Chorzow_Indemnites_Ordonnance_19271121.pdf,odd-english,PCIJ_A_12_ChorzowFactory-Indemnities_DEU_POL_1927-11-21_ORD_01_IM_00_BI.pdf,Factory at Chorzów (Indemnities)
42_Usine_de_Chorzow_Indemnites_Ordonnance_19271121-2.pdf,odd-english,PCIJ_A_12_ChorzowFactory-Indemnities_DEU_POL_1927-10-14_APP_01_NA_NA_BI.pdf,Factory at Chorzów (Indemnities)
43_Interpretation_des_Arrets_No_7_et_8_Usine_de_Chorzow_Arret.pdf,odd-english,PCIJ_A_13_ChorzowFactory-Interpretation_DEU_POL_1927-12-16_JUD_01_ME_00_BI.pdf,Interpretation of Judgments Nos. 7 and 8 (The Chorzów Factory)
